Date;Numéro 1;Numéro 2;Numéro 3;Numéro 4;Numéro 5;Numéro 6;Signe astrologique
2012-12-31;5;9;9;0;9;8;Poissons
2012-12-29;2;4;8;4;6;0;Poissons
2012-12-28;6;7;8;0;0;3;Cancer
2012-12-26;5;0;3;6;4;5;Balance
2012-12-25;0;1;6;8;0;1;Scorpion
2012-12-24;1;6;1;3;0;1;Vierge
2012-12-22;2;3;0;7;8;3;Cancer
2012-12-21;7;0;9;3;9;8;Lion
2012-12-19;7;7;0;5;6;9;Vierge
2012-12-18;0;7;4;8;6;7;Balance
2012-12-15;3;5;2;3;6;5;Bélier
2012-12-14;3;4;6;9;6;9;Scorpion
2012-12-12;3;8;5;5;4;9;Poissons
2012-12-11;8;8;5;5;7;0;Vierge
2012-12-08;8;9;8;1;3;5;Sagittaire
2012-12-07;6;6;3;4;4;6;Capricorne
2012-12-05;0;3;2;0;3;1;Poissons
2012-12-04;1;9;5;3;5;3;Balance
2012-12-01;2;2;8;0;1;2;Balance
2012-11-30;0;4;2;5;8;1;Capricorne
2012-11-28;5;1;0;5;5;2;Scorpion
2012-11-27;0;5;0;3;0;1;Taureau
2012-11-24;3;2;5;4;3;8;Bélier
2012-11-23;5;2;9;7;9;5;Scorpion
2012-11-21;8;9;1;7;5;6;Poissons
2012-11-20;8;3;7;9;3;5;Taureau
2012-11-17;1;8;9;4;7;7;Taureau
2012-11-16;6;0;9;0;8;7;Capricorne
2012-11-14;9;8;4;7;7;8;Verseau
2012-11-13;9;3;4;7;4;0;Lion
2012-11-10;2;6;2;3;9;7;Taureau
2012-11-09;3;9;0;7;8;0;Verseau
2012-11-07;2;2;5;2;4;7;Vierge
2012-11-06;0;6;9;2;5;9;Vierge
2012-11-03;8;2;9;0;7;2;Capricorne
2012-11-02;5;9;5;5;2;2;Bélier
2012-10-31;3;5;6;5;0;0;Capricorne
2012-10-30;3;9;0;8;8;5;Gémeaux
2012-10-27;5;1;5;7;3;7;Bélier
2012-10-26;0;0;9;3;4;3;Cancer
2012-10-24;1;7;8;5;7;6;Taureau
2012-10-23;4;9;1;7;9;8;Lion
2012-10-20;4;1;7;0;9;0;Vierge
2012-10-19;7;2;6;0;6;9;Capricorne
2012-10-17;5;0;2;7;4;8;Cancer
2012-10-16;4;3;6;7;4;5;Lion
2012-10-13;1;7;2;7;1;9;Taureau
2012-10-12;2;6;4;0;0;2;Balance
2012-10-10;3;7;5;2;0;6;Taureau
2012-10-09;0;5;6;4;7;2;Capricorne
2012-10-06;0;0;9;9;4;7;Cancer
2012-10-05;8;6;8;2;4;9;Taureau
2012-10-03;9;9;9;2;5;1;Taureau
2012-10-02;8;7;2;6;8;7;Taureau
2012-09-29;9;8;1;1;3;3;Sagittaire
2012-09-28;2;2;3;4;7;5;Taureau
2012-09-26;7;3;7;6;6;1;Bélier
2012-09-25;9;1;8;3;6;7;Lion
2012-09-22;2;1;8;8;9;7;Balance
2012-09-21;4;0;5;8;6;5;Sagittaire
2012-09-19;8;3;1;9;7;9;Vierge
2012-09-18;7;3;5;3;8;6;Capricorne
2012-09-15;8;6;7;3;4;6;Scorpion
2012-09-14;5;3;0;5;0;2;Scorpion
2012-09-12;3;6;5;9;1;3;Sagittaire
2012-09-11;1;6;3;0;2;7;Poissons
2012-09-08;7;8;8;5;4;1;Cancer
2012-09-07;2;0;4;5;4;5;Bélier
2012-09-05;8;4;2;8;4;5;Lion
2012-09-04;3;3;4;7;5;4;Cancer
2012-09-01;0;5;5;2;1;7;Scorpion
2012-08-31;7;9;0;8;5;4;Verseau
2012-08-29;1;3;1;8;5;6;Cancer
2012-08-28;0;9;5;5;2;8;Scorpion
2012-08-25;3;8;4;1;1;0;Bélier
2012-08-24;0;1;8;8;9;7;Verseau
2012-08-22;7;5;2;7;3;8;Taureau
2012-08-21;9;5;6;9;0;3;Balance
2012-08-18;0;0;6;9;1;5;Cancer
2012-08-17;9;5;1;5;2;3;Vierge
2012-08-15;1;2;6;7;3;4;Lion
2012-08-14;6;5;1;9;1;7;Bélier
2012-08-11;6;3;9;1;3;3;Balance
2012-08-10;1;0;2;5;7;8;Taureau
2012-08-08;2;0;2;0;4;4;Cancer
2012-08-07;4;3;5;4;6;8;Cancer
2012-08-04;5;3;6;6;2;5;Capricorne
2012-08-03;3;2;4;0;0;8;Sagittaire
2012-08-01;9;2;0;0;2;6;Vierge
2012-07-31;6;9;2;1;4;3;Verseau
2012-07-28;7;6;0;1;0;1;Gémeaux
2012-07-27;3;6;3;3;3;2;Verseau
2012-07-25;0;1;0;3;4;2;Gémeaux
2012-07-24;8;3;0;9;6;9;Vierge
2012-07-21;5;1;7;3;1;9;Scorpion
2012-07-20;9;4;5;4;3;9;Vierge
2012-07-18;6;8;3;1;1;3;Sagittaire
2012-07-17;2;1;2;5;9;7;Taureau
2012-07-14;6;1;9;6;2;1;Capricorne
2012-07-13;9;5;7;9;1;5;Bélier
2012-07-11;1;2;8;3;2;4;Cancer
2012-07-10;2;8;2;3;0;3;Vierge
2012-07-07;6;1;4;2;3;4;Bélier
2012-07-06;4;1;1;7;5;9;Cancer
2012-07-04;9;5;7;6;5;7;Verseau
2012-07-03;0;6;1;6;5;1;Capricorne
2012-06-30;1;5;8;4;8;7;Bélier
2012-06-29;7;9;7;4;8;6;Sagittaire
2012-06-27;0;7;1;1;2;0;Lion
2012-06-26;2;0;6;9;8;9;Cancer
2012-06-23;6;5;5;3;1;0;Lion
2012-06-22;7;7;4;3;0;9;Scorpion
2012-06-20;1;3;6;4;9;6;Taureau
2012-06-19;8;1;9;9;3;8;Balance
2012-06-16;5;9;5;8;8;2;Vierge
2012-06-15;5;7;8;6;8;0;Verseau
2012-06-13;0;4;0;0;3;4;Sagittaire
2012-06-12;1;9;6;1;5;3;Poissons
2012-06-09;5;3;7;6;2;0;Cancer
2012-06-08;4;2;1;3;6;0;Capricorne
2012-06-06;2;6;3;4;7;7;Bélier
2012-06-05;9;1;8;2;4;2;Cancer
2012-06-02;0;6;7;5;6;9;Cancer
2012-06-01;6;8;6;5;6;3;Balance
2012-05-30;8;2;5;8;9;3;Vierge
2012-05-29;6;9;4;3;7;6;Taureau
2012-05-26;0;6;5;0;9;9;Balance
2012-05-25;1;3;3;1;9;1;Scorpion
2012-05-23;1;3;3;8;0;8;Sagittaire
2012-05-22;2;6;6;2;1;4;Sagittaire
2012-05-19;3;4;9;1;4;6;Sagittaire
2012-05-18;7;8;8;6;0;3;Cancer
2012-05-16;1;2;1;1;7;3;Scorpion
2012-05-15;0;5;6;5;3;1;Cancer
2012-05-12;4;0;7;8;3;1;Sagittaire
2012-05-11;0;9;4;4;8;4;Lion
2012-05-09;5;8;1;7;1;2;Lion
2012-05-08;4;7;4;8;4;4;Verseau
2012-05-05;7;4;8;3;4;9;Scorpion
2012-05-04;3;7;7;8;9;5;Gémeaux
2012-05-02;1;2;6;3;7;1;Gémeaux
2012-05-01;3;8;4;6;7;4;Cancer
2012-04-28;3;7;1;9;9;8;Capricorne
2012-04-27;6;5;3;2;5;4;Scorpion
2012-04-25;7;8;8;1;2;5;Balance
2012-04-24;8;6;2;3;3;7;Sagittaire
2012-04-21;2;9;6;1;8;4;Vierge
2012-04-20;9;9;9;9;5;2;Verseau
2012-04-18;3;0;1;8;8;2;Vierge
2012-04-17;2;6;6;2;9;6;Lion
2012-04-14;9;9;3;0;5;7;Cancer
2012-04-13;2;9;4;8;4;3;Vierge
2012-04-11;8;6;4;7;4;6;Sagittaire
2012-04-10;6;2;4;3;7;1;Poissons
2012-04-07;8;0;4;7;7;8;Vierge
2012-04-06;0;8;9;8;1;7;Balance
2012-04-04;5;2;4;3;9;0;Cancer
2012-04-03;2;2;5;0;4;5;Cancer
2012-03-31;9;6;9;5;1;9;Taureau
2012-03-30;3;3;1;5;5;1;Bélier
2012-03-28;2;8;4;0;4;2;Lion
2012-03-27;8;4;8;3;2;1;Gémeaux
2012-03-24;9;6;4;7;7;4;Balance
2012-03-23;5;9;8;9;5;8;Taureau
2012-03-21;2;3;8;7;4;8;Bélier
2012-03-20;6;2;0;9;2;4;Balance
2012-03-17;4;1;4;8;4;9;Scorpion
2012-03-16;6;8;3;1;1;2;Verseau
2012-03-14;4;5;1;7;4;2;Balance
2012-03-13;4;5;6;4;2;1;Verseau
2012-03-10;7;8;1;1;3;0;Sagittaire
2012-03-09;1;0;8;0;7;4;Balance
2012-03-07;4;6;3;1;2;8;Poissons
2012-03-06;3;5;7;5;3;2;Verseau
2012-03-03;1;9;4;9;9;6;Balance
2012-03-02;5;2;1;7;3;9;Sagittaire
2012-02-29;8;7;7;7;3;6;Taureau
2012-02-28;3;2;7;0;7;3;Lion
2012-02-25;0;0;4;9;8;3;Balance
2012-02-24;3;6;3;8;2;4;Gémeaux
2012-02-22;8;0;2;5;4;8;Capricorne
2012-02-21;4;5;8;2;6;5;Bélier
2012-02-18;2;2;1;8;8;0;Sagittaire
2012-02-17;2;0;5;1;3;8;Verseau
2012-02-15;1;4;6;9;0;8;Cancer
2012-02-14;7;5;6;7;0;8;Sagittaire
2012-02-11;1;2;2;3;8;3;Taureau
2012-02-10;8;1;5;4;1;4;Gémeaux
2012-02-08;0;1;1;2;8;4;Sagittaire
2012-02-07;2;3;5;3;3;8;Vierge
2012-02-04;7;8;9;0;0;9;Scorpion
2012-02-03;5;7;0;3;9;9;Lion
2012-02-01;5;0;5;6;1;1;Gémeaux
2012-01-31;3;3;8;0;3;1;Balance
2012-01-28;5;2;0;5;2;8;Gémeaux
2012-01-27;5;3;9;3;1;7;Poissons
2012-01-25;8;5;9;7;1;6;Capricorne
2012-01-24;3;6;1;5;0;5;Poissons
2012-01-21;4;4;7;7;5;1;Balance
2012-01-20;9;8;8;5;6;8;Verseau
2012-01-18;2;0;2;8;0;9;Capricorne
2012-01-17;9;5;2;9;7;8;Balance
2012-01-14;6;5;1;5;1;0;Taureau
2012-01-13;0;7;9;8;3;5;Capricorne
2012-01-11;6;7;9;3;5;7;Poissons
2012-01-10;3;8;1;8;5;2;Capricorne
2012-01-07;6;7;0;8;6;0;Verseau
2012-01-06;9;0;9;1;9;6;Verseau
2012-01-04;2;2;2;7;2;1;Cancer
2012-01-03;5;6;7;3;6;2;Poissons
